condition,sample_num,bcr
dedup,0,0.125
dedup,2,0.25
dedup,3,0.375
dedup,4,0.375
dedup,5,0.375
dedup,7,0.5
dedup,8,0.625
dedup,10,0.625
dedup,11,0.75
dedup,12,0.75
dedup,13,0.75
dedup,14,0.75
dedup,16,0.75
dedup,17,0.75
dedup,18,0.75
dedup,20,0.75
dedup,21,0.75
dedup,22,0.75
dedup,23,0.75
dedup,27,0.75
dedup,35,0.75
dedup,37,0.75
dedup,38,0.75
dedup,39,0.875
dedup,40,0.875
dedup,41,0.875
dedup,42,0.875
dedup,43,0.875
dedup,44,0.875
dedup,45,0.875
dedup,46,0.875
dedup,50,0.875
dedup,51,1.0
dedup,52,1.0
dedup,53,1.0
dedup,54,1.0
dedup,55,1.0
dedup,56,1.0
dedup,58,1.0
dedup,61,1.0
dedup,62,1.0
dedup,64,1.0
dedup,65,1.0
dedup,68,1.0
dedup,71,1.0
dedup,72,1.0
dedup,73,1.0
dedup,75,1.0
dedup,77,1.0
dedup,78,1.0
dedup,79,1.0
dedup,81,1.0
dedup,82,1.0
dedup,83,1.0
dedup,84,1.0
dedup,85,1.0
dedup,88,1.0
dedup,91,1.0
dedup,92,1.0
dedup,93,1.0
dedup,95,1.0
dedup,98,1.0
dedup,99,1.0
dedup,100,1.0
dedup,101,1.0
dedup,102,1.0
dedup,104,1.0
dedup,105,1.0
dedup,106,1.0
dedup,107,1.0
dedup,109,1.0
dedup,111,1.0
dedup,112,1.0
dedup,113,1.0
dedup,114,1.0
dedup,115,1.0
dedup,116,1.0
dedup,117,1.0
dedup,118,1.0
dedup,121,1.0
dedup,125,1.0
dedup,126,1.0
dedup,127,1.0
dedup,134,1.0
dedup,135,1.0
dedup,137,1.0
dedup,139,1.0
dedup,140,1.0
dedup,141,1.0
dedup,142,1.0
dedup,143,1.0
dedup,144,1.0
dedup,145,1.0
dedup,148,1.0
dedup,150,1.0
dedup,153,1.0
dedup+diversity,0,0.125
dedup+diversity,2,0.125
dedup+diversity,3,0.125
dedup+diversity,4,0.25
dedup+diversity,5,0.375
dedup+diversity,6,0.375
dedup+diversity,7,0.5
dedup+diversity,8,0.5
dedup+diversity,9,0.5
dedup+diversity,13,0.5
dedup+diversity,14,0.5
dedup+diversity,16,0.5
dedup+diversity,17,0.625
dedup+diversity,18,0.75
dedup+diversity,19,0.75
dedup+diversity,20,0.75
dedup+diversity,22,0.75
dedup+diversity,24,0.875
dedup+diversity,25,0.875
dedup+diversity,29,0.875
dedup+diversity,31,0.875
dedup+diversity,32,0.875
dedup+diversity,33,0.875
dedup+diversity,34,0.875
dedup+diversity,37,0.875
dedup+diversity,38,0.875
dedup+diversity,41,0.875
dedup+diversity,44,0.875
dedup+diversity,45,0.875
dedup+diversity,48,0.875
dedup+diversity,49,0.875
dedup+diversity,50,0.875
dedup+diversity,51,0.875
dedup+diversity,52,0.875
dedup+diversity,53,0.875
dedup+diversity,55,0.875
dedup+diversity,56,0.875
dedup+diversity,58,0.875
dedup+diversity,59,0.875
dedup+diversity,60,0.875
dedup+diversity,61,0.875
dedup+diversity,65,1.0
dedup+diversity,66,1.0
dedup+diversity,67,1.0
dedup+diversity,68,1.0
dedup+diversity,69,1.0
dedup+diversity,70,1.0
dedup+diversity,74,1.0
dedup+diversity,75,1.0
dedup+diversity,76,1.0
dedup+diversity,77,1.0
dedup+diversity,78,1.0
dedup+diversity,79,1.0
dedup+diversity,81,1.0
dedup+diversity,83,1.0
dedup+diversity,84,1.0
dedup+diversity,87,1.0
dedup+diversity,88,1.0
dedup+diversity,89,1.0
dedup+diversity,91,1.0
dedup+diversity,92,1.0
dedup+diversity,93,1.0
dedup+diversity,94,1.0
dedup+diversity,95,1.0
dedup+diversity,96,1.0
dedup+diversity,97,1.0
dedup+diversity,98,1.0
dedup+diversity,99,1.0
dedup+diversity,100,1.0
dedup+diversity,101,1.0
dedup+diversity,102,1.0
dedup+diversity,103,1.0
dedup+diversity,105,1.0
dedup+diversity,106,1.0
dedup+diversity,107,1.0
dedup+diversity,109,1.0
dedup+diversity,111,1.0
dedup+diversity,112,1.0
dedup+diversity,113,1.0
dedup+diversity,117,1.0
dedup+diversity,122,1.0
dedup+diversity,123,1.0
dedup+diversity,124,1.0
dedup+diversity,125,1.0
dedup+diversity,126,1.0
dedup+diversity,127,1.0
dedup+diversity,128,1.0
dedup+diversity,129,1.0
dedup+diversity,132,1.0
dedup+diversity,134,1.0
dedup+diversity,135,1.0
dedup+diversity,136,1.0
dedup+diversity,137,1.0
dedup+diversity,138,1.0
dedup+diversity,139,1.0
dedup+diversity,140,1.0
dedup+diversity,141,1.0
dedup+diversity,144,1.0
dedup+diversity,145,1.0
dedup+diversity,146,1.0
dedup+diversity,147,1.0
dedup+diversity,148,1.0
dedup+diversity,149,1.0
dedup+diversity,150,1.0
dedup+diversity,151,1.0
dedup+diversity,153,1.0
